During	O
reprogramming,	O
somatic	O
cell-specific	O
genes	O
are	O
suppressed,	O
while	O
embryonic	B
stem	I
cell	I
(ESC)-specific	O
pluripotency	O
genes	O
are	O
induced,	O
leading	O
to	O
the	O
generation	O
of	O
induced	B
pluripotent	I
stem	I
cells	I
(iPSCs)	O
with	O
undifferentiated	O
states	O
and	O
pluripotency	O
(Stadtfeld	O
et	O
al.,	O
2008).	O

This	O
method	O
is	O
not	O
to	O
be	O
confused	O
with	O
somatic	O
cell	O
reprogramming	O
which	O
involves	O
generation	O
of	O
induced	B
pluripotent	I
stem	I
cell	I
(iPSCs)	O
from	O
somatic	O
cells	O
using	O
techniques	O
such	O
as	O
somatic	O
cell	O
nuclear	O
transfer	O
(SCNT),	O
cell-cell	O
fusion,	O
exposure	O
to	O
extracts	O
of	O
pluripotent	O
cells,	O
or	O
iPSC	O
technology	O
[26].	O

This	O
could	O
be	O
explained	O
by	O
the	O
leukemia	B
stem	I
cell	I
(LSC)	O
theory	O
in	O
which	O
rare	O
leukemic	O
blasts	O
are	O
thought	O
to	O
be	O
responsible	O
for	O
relapse	O
and	O
for	O
maintaining	O
AML.	O

In	O
order	O
to	O
understand	O
the	O
role	O
of	O
telomerase	O
in	O
leukemia	B
stem	I
cell	I
(LSC)	O
generation	O
and	O
maintenance,	O
we	O
have	O
taken	O
advantage	O
of	O
our	O
Sca1-BCR-ABLp210	O
mouse	O
model	O
of	O
human	O
chronic	O
myeloid	O
leukaemia	O
(CML),	O
a	O
paradigmatic	O
stem-cell	O
disorder	O
[23,	O
24].	O

To	O
date,	O
the	O
majority	O
of	O
cancer	B
stem	I
cell	I
(CSC)	O
studies	O
are	O
conducted	O
using	O
human	O
tumors	O
inoculated	O
into	O
severely	O
immunosuppressed	O
hosts	O
(e.g.	O

In	O
recent	O
years,	O
the	O
cancer	B
stem	I
cell	I
(CSC)	O
theory	O
has	O
emerged	O
as	O
an	O
attractive	O
hypothesis	O
for	O
tumor	O
development	O
and	O
progression.	O

Recently,	O
the	O
cancer	B
stem	I
cell	I
(CSC)	O
theory	O
has	O
emerged	O
as	O
an	O
attractive	O
hypothesis	O
for	O
tumor	O
development	O
and	O
progression.	O

Preclinical	O
efficacy	O
of	O
mesenchymal	B
stem	I
cell	I
(MSC)	O
in	O
animal	O
models	O
for	O
systemic	O
lupus	O
erythematosus.	O

Neural	B
stem	I
cells	I
(NSCs)	O
have	O
been	O
successfully	O
derived	O
from	O
PSCs	O
and	O
several	O
protocols	O
for	O
PSCs	O
differentiation	O
into	O
a	O
broad	O
variety	O
of	O
mature	O
neurons	O
and	O
glial	O
cell	O
subtypes	O
have	O
been	O
published	O
(Srikanth	O
and	O
Young-Pearse,	O
2014).	O

Mesenchymal	B
stem	I
cell	I
(MSC)	O
gene	O
therapy	O
have	O
been	O
widely	O
used	O
in	O
clinical	O
trials	O
due	O
to	O
their	O
heterogenetic	O
properties	O
(Bianco	O
2014).	O

Mesenchymal	B
stem	I
cells	I
(MSCs)	O
attenuate	O
cutaneous	O
sclerodermatous	O
graft-versus-host	O
disease	O
(Scl-GVHD)	O
through	O
inhibition	O
of	O
immune	O
cell	O
infiltration	O
in	O
a	O
mouse	O
model.	O

Recent	O
advances	O
in	O
induced	B
pluripotent	I
stem	I
cell	I
(iPSC)	O
research	O
have	O
turned	O
limitations	O
of	O
prior	O
and	O
current	O
research	O
into	O
possibilities.	O

In	O
another	O
study,	O
functional	O
DA	O
neurons	O
were	O
generated	O
from	O
neuroepithelial	B
stem	I
cells	I
(NESCs)	O
derived	O
from	O
hiPSCs	O
using	O
a	O
phase-guided	O
3D	O
cell	O
culture	O
microfluidic	O
bioreactor.	O

Notch	O
signaling	O
augments	O
BMP9-induced	O
bone	O
formation	O
by	O
promoting	O
the	O
osteogenesis-angiogenesis	O
coupling	O
process	O
in	O
mesenchymal	B
stem	I
cells	I
(MSCs)	O
Cell.	O

However,	O
the	O
sg2/sg3	O
MA9	O
cells	O
showed	O
a	O
significantly	O
larger	O
population	O
of	O
cells	O
expressing	O
the	O
c-Kit	O
progenitor	O
marker	O
(Figure	O
3F,H),	O
which	O
has	O
been	O
associated	O
with	O
the	O
leukaemia	B
stem	I
cell	I
(LSC)	O
in	O
AMLs	O
including	O
MA9	O
[36,37].	O

Development	O
of	O
induced	B
pluripotent	I
stem	I
cells	I
(iPSCs)	O
using	O
forced	O
expression	O
of	O
specific	O
sets	O
of	O
transcription	O
factors	O
has	O
changed	O
the	O
field	O
of	O
stem	O
cell	O
research	O
extensively.	O

Embryonic	B
stem	I
cells	I
(ESCs)	O
derived	O
from	O
the	O
inner	O
cell	O
mass	O
of	O
mouse	O
[10]	O
and	O
subsequently	O
from	O
human	O
blastocysts	O
[11]	O
are	O
considered	O
pluripotent.	O

MNCs	O
of	O
normal	O
A	O
and	O
normal	O
B	O
were	O
enriched	O
for	O
hematopoietic	B
stem	I
cells	I
(HSCs)	O
by	O
CD34	O
cell	O
surface	O
marker	O
selection	O
using	O
the	O
CD34	O
MicroBead	O
kit,	O
human	O
(Miltenyi	O
Biotec)	O
according	O
to	O
the	O
manufacturer’s	O
instructions.	O

Therefore,	O
we	O
hypothesized	O
that	O
this	O
tumor	O
reprogramming	O
fate	O
